,0
0,0.5005031228065491
1,0.6956007480621338
2,0.5011711716651917
3,0.8893321752548218
4,0.8023320436477661
5,0.5002065896987915
6,0.5491877794265747
7,0.4999784231185913
8,0.49999141693115234
9,0.7379752993583679
10,0.557820200920105
11,0.6956008076667786
12,0.500119149684906
13,0.4999837875366211
14,0.4999873638153076
15,0.5448253750801086
16,0.6706807017326355
17,0.5583580136299133
18,0.554507315158844
19,0.5454440116882324
20,0.5016706585884094
21,0.698093831539154
22,0.5078916549682617
23,0.5023021697998047
24,0.8893321752548218
25,0.4999818205833435
26,0.5000341534614563
27,0.5008565783500671
28,0.7379752993583679
29,0.5494715571403503
30,0.5031226873397827
31,0.6956007480621338
32,0.8630619049072266
33,0.5491877794265747
34,0.5002309679985046
35,0.8893321752548218
36,0.8893321752548218
37,0.572857141494751
38,0.5011112689971924
39,0.5012950897216797
40,0.6956624388694763
41,0.8893321752548218
42,0.4999760389328003
43,0.5004327893257141
44,0.8893321752548218
45,0.501008152961731
46,0.6956007480621338
47,0.5586363673210144
48,0.49999964237213135
49,0.5000163912773132
50,0.5004889369010925
51,0.5000131130218506
52,0.4997774064540863
53,0.6956624388694763
54,0.5000417828559875
55,0.7030323147773743
56,0.6956007480621338
57,0.7379752993583679
58,0.7379752993583679
59,0.7092386484146118
60,0.6005465388298035
61,0.5007859468460083
62,0.9102634191513062
63,0.7030323147773743
